,Title,Score,Genres,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Duration,Rating,Popularity,Members,Favorites,Ranked
61,"Fumetsu no Anata e
To Your Eternity",8.62,"Adventure, Drama, Shounen, Supernatural",TV,20,Currently Airing,"Apr 12, 2021 to ?",Spring 2021,Mondays at 22:50 (JST),"NHK, NHK Enterprises","None found, add some",Brain's Base,Manga,25 min. per ep.,R - 17+ (violence & profanity),346,"438,871","5,687",62
62,Mushishi Zoku Shou: Suzu no Shizuku,8.62,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,Finished Airing,16-May-15,,,"Aniplex, Kodansha, Delfi Sound","None found, add some",Artland,Manga,47 min.,PG-13 - Teens 13 or older,1471,"103,607",179,63
63,"Ookami Kodomo no Ame to Yuki
Wolf Children",8.62,"Fantasy, Slice of Life",Movie,1,Finished Airing,21-Jul-12,,,"Madhouse, VAP, Dentsu, Yomiuri Telecasting, Kadokawa Shoten, Toho, Hiroshima Television",Funimation,Studio Chizu,Original,1 hr. 57 min.,G - All Ages,178,"663,650","9,759",64
64,Ping Pong the Animation,8.62,"Drama, Psychological, Seinen, Sports",TV,11,Finished Airing,"Apr 11, 2014 to Jun 20, 2014",Spring 2014,Fridays at 00:50 (JST),"Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings, Science SARU",Funimation,Tatsunoko Production,Manga,23 min. per ep.,PG-13 - Teens 13 or older,538,"296,728","12,052",65
65,"Kizumonogatari II: Nekketsu-hen
Kizumonogatari Part 2: Nekketsu",8.61,"Action, Mystery, Supernatural, Vampire",Movie,1,Finished Airing,19-Aug-16,,,"Aniplex, Kodansha",Aniplex of America,Shaft,Light novel,1 hr. 4 min.,R - 17+ (violence & profanity),459,"341,082","1,883",66
66,"Yakusoku no Neverland
The Promised Neverland",8.6,"Sci-Fi, Mystery, Horror, Psychological, Thriller, Shounen",TV,12,Finished Airing,"Jan 10, 2019 to Mar 29, 2019",Winter 2019,Fridays at 00:55 (JST),"Aniplex, Dentsu, Fuji TV, Shueisha, CA-Cygames Anime Fund",Aniplex of America,CloverWorks,Manga,22 min. per ep.,R - 17+ (violence & profanity),46,"1,386,096","29,236",67
67,"Yojouhan Shinwa Taikei
The Tatami Galaxy",8.6,"Mystery, Comedy, Psychological, Romance",TV,11,Finished Airing,"Apr 23, 2010 to Jul 2, 2010",Spring 2010,Fridays at 00:45 (JST),"Dentsu, Kadokawa Shoten, Fuji TV, Toho, Asmik Ace, Tohokushinsha Film Corporation, Sony Music Entertainment, Fujipacific Music",Funimation,Madhouse,Novel,23 min. per ep.,R - 17+ (violence & profanity),460,"341,589","14,575",68
68,"Natsume Yuujinchou San
Natsume's Book of Friends Season 3",8.59,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,13,Finished Airing,"Jul 5, 2011 to Sep 27, 2011",Summer 2011,Tuesdays at 01:30 (JST),"Aniplex, Sakura Create","NIS America, Inc.",Brain's Base,Manga,24 min. per ep.,PG-13 - Teens 13 or older,782,"212,208","1,209",69
69,"Shouwa Genroku Rakugo Shinjuu
Showa Genroku Rakugo Shinju",8.59,"Drama, Historical, Josei",TV,13,Finished Airing,"Jan 9, 2016 to Apr 2, 2016",Winter 2016,Saturdays at 02:25 (JST),"Starchild Records, Mainichi Broadcasting System, Kodansha, DAX Production","None found, add some",Studio Deen,Manga,26 min. per ep.,PG-13 - Teens 13 or older,682,"240,526","5,054",70
70,"Tensei shitara Slime Datta Ken 2nd Season Part 2
That Time I Got Reincarnated as a Slime Season 2 Part 2",8.59,"Action, Adventure, Comedy, Demons, Magic, Fantasy",TV,12,Currently Airing,"Jul 6, 2021 to ?",Summer 2021,Tuesdays at 23:00 (JST),"None found, add some","None found, add some",8bit,Light novel,Unknown,PG-13 - Teens 13 or older,784,"212,245","3,028",71
71,"Hajime no Ippo: Rising
Hajime No Ippo: The Fighting!",8.59,"Comedy, Sports, Drama, Shounen",TV,25,Finished Airing,"Oct 6, 2013 to Mar 29, 2014",Fall 2013,Sundays at 01:35 (JST),"VAP, Kodansha, Nippon Television Network","None found, add some","Madhouse, MAPPA",Manga,22 min. per ep.,PG-13 - Teens 13 or older,881,"190,599",929,72
72,"JoJo no Kimyou na Bouken Part 5: Ougon no Kaze
JoJo's Bizarre Adventure: Golden Wind",8.59,"Action, Adventure, Shounen",TV,39,Finished Airing,"Oct 6, 2018 to Jul 28, 2019",Fall 2018,Saturdays at 01:05 (JST),"Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha",VIZ Media,David Production,Manga,23 min. per ep.,R - 17+ (violence & profanity),191,"651,288","21,183",73
73,"Kimetsu no Yaiba
Demon Slayer: Kimetsu no Yaiba",8.59,"Action, Demons, Historical, Shounen, Supernatural",TV,26,Finished Airing,"Apr 6, 2019 to Sep 28, 2019",Spring 2019,Saturdays at 23:30 (JST),"Aniplex, Shueisha",Aniplex of America,ufotable,Manga,23 min. per ep.,R - 17+ (violence & profanity),15,"1,848,250","59,055",74
74,"Kimi no Suizou wo Tabetai
I want to eat your pancreas",8.59,"Slice of Life, Drama, Romance",Movie,1,Finished Airing,1-Sep-18,,,Aniplex,Aniplex of America,Studio VOLN,Novel,1 hr. 48 min.,PG-13 - Teens 13 or older,239,"576,422","12,798",75
75,"Fate/Zero 2nd Season
Fate/Zero Season 2",8.58,"Action, Supernatural, Magic, Fantasy",TV,12,Finished Airing,"Apr 8, 2012 to Jun 24, 2012",Spring 2012,Sundays at 00:00 (JST),"Aniplex, Nitroplus, Seikaisha, Notes",Aniplex of America,ufotable,Light novel,24 min. per ep.,R - 17+ (violence & profanity),110,"886,761","17,388",76
76,"Natsume Yuujinchou Go
Natsume's Book of Friends Season 5",8.58,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,11,Finished Airing,"Oct 5, 2016 to Dec 21, 2016",Fall 2016,Wednesdays at 01:35 (JST),"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha","None found, add some",Shuka,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1124,"146,407",655,77
77,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.57,"Drama, Fantasy, Psychological, Thriller",TV,12,Finished Airing,"Jan 6, 2021 to Mar 24, 2021",Winter 2021,Wednesdays at 22:30 (JST),Kadokawa,"None found, add some",White Fox,Light novel,28 min. per ep.,R - 17+ (violence & profanity),266,"532,123","8,942",78
78,"Tengen Toppa Gurren Lagann Movie 2: Lagann-hen
Gurren Lagann The Movie: The Lights in the Sky are Stars",8.57,"Action, Sci-Fi, Space, Super Power, Mecha",Movie,1,Finished Airing,22-Apr-09,,,Aniplex,Aniplex of America,Gainax,Original,2 hr. 5 min.,R+ - Mild Nudity,931,"178,462",784,79
79,"Bakuman. 3rd Season
Bakuman.",8.57,"Comedy, Drama, Romance, Shounen",TV,25,Finished Airing,"Oct 6, 2012 to Mar 30, 2013",Fall 2012,Unknown,"NHK, Shueisha","None found, add some",J.C.Staff,Manga,24 min. per ep.,PG-13 - Teens 13 or older,566,"283,217","2,707",80
80,"Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly
Fate/stay night: Heaven's Feel - II. Lost Butterfly",8.57,"Action, Fantasy, Magic, Supernatural",Movie,1,Finished Airing,12-Jan-19,,,"Aniplex, Notes, Kadokawa",Aniplex of America,ufotable,Visual novel,1 hr. 57 min.,R - 17+ (violence & profanity),650,"251,632","2,684",81
81,Fruits Basket 2nd Season,8.57,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,25,Finished Airing,"Apr 7, 2020 to Sep 22, 2020",Spring 2020,Tuesdays at 01:30 (JST),"TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music",Funimation,TMS Entertainment,Manga,23 min. per ep.,PG-13 - Teens 13 or older,576,"283,670","3,800",82
82,"Mushishi: Hihamukage
The Shadow that Devours the Sun",8.56,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",Special,1,Finished Airing,4-Jan-14,,,"Aniplex, Kodansha, Delfi Sound","None found, add some",Artland,Manga,45 min.,PG-13 - Teens 13 or older,1384,"113,002",154,83
83,One Piece,8.56,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,Unknown,Currently Airing,"Oct 20, 1999 to ?",Fall 1999,Sundays at 09:30 (JST),"Fuji TV, TAP, Shueisha","Funimation, 4Kids Entertainment",Toei Animation,Manga,24 min.,PG-13 - Teens 13 or older,31,"1,545,565","123,746",84
84,"Vivy: Fluorite Eye's Song
Vivy -Fluorite Eye's Song-",8.56,"Action, Music, Sci-Fi, Thriller",TV,13,Finished Airing,"Apr 3, 2021 to Jun 19, 2021",Spring 2021,Saturdays at 23:30 (JST),Aniplex,Aniplex of America,Wit Studio,Original,24 min. per ep.,R - 17+ (violence & profanity),634,"254,880","4,456",85
85,"Zoku Natsume Yuujinchou
Natsume's Book of Friends Season 2",8.56,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,13,Finished Airing,"Jan 6, 2009 to Mar 31, 2009",Winter 2009,Tuesdays at 01:00 (JST),"Aniplex, Nihon Ad Systems","NIS America, Inc.",Brain's Base,Manga,24 min. per ep.,PG-13 - Teens 13 or older,792,"210,840","1,305",86
