,Title,Score,Genres,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Duration,Rating,Popularity,Members,Favorites,Ranked
14,Gintama,8.95,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,Thursdays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha","Sentai Filmworks, Crunchyroll",Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older,119,"832,445","48,331",15
15,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.94,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",Movie,1,Finished Airing,6-Jul-13,,,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha","None found, add some",Sunrise,Manga,1 hr. 50 min.,PG-13 - Teens 13 or older,906,"184,664","1,842",16
16,"Kimi no Na wa.
Your Name.",8.92,"Romance, Supernatural, School, Drama",Movie,1,Finished Airing,26-Aug-16,,,"Toho, Sound Team Don Juan, Amuse, JR East Marketing & Communications, Kadokawa, voque ting","Funimation, NYAV Post",CoMix Wave Films,Original,1 hr. 46 min.,PG-13 - Teens 13 or older,9,"2,004,070","71,336",17
17,"Owarimonogatari 2nd Season
Owarimonogatari Second Season",8.92,"Mystery, Comedy, Supernatural, Vampire",TV,7,Finished Airing,"Aug 12, 2017 to Aug 13, 2017",Summer 2017,Not scheduled once per week,"Aniplex, Kodansha",Aniplex of America,Shaft,Light novel,22 min. per ep.,R - 17+ (violence & profanity),525,"303,423","6,727",18
18,"Code Geass: Hangyaku no Lelouch R2
Code Geass: Lelouch of the Rebellion R2",8.91,"Action, Military, Sci-Fi, Super Power, Drama, Mecha",TV,25,Finished Airing,"Apr 6, 2008 to Sep 28, 2008",Spring 2008,Sundays at 17:00 (JST),"Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),43,"1,391,929","63,764",19
19,"Gintama.: Shirogane no Tamashii-hen - Kouhan-sen
Gintama.: Silver Soul Arc - Second Half War",8.87,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",TV,14,Finished Airing,"Jul 9, 2018 to Oct 8, 2018",Summer 2018,Mondays at 01:35 (JST),"TV Tokyo, Aniplex, Dentsu, Shueisha","None found, add some",Bandai Namco Pictures,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1234,"132,912",826,20
20,Violet Evergarden Movie,8.84,"Slice of Life, Drama, Fantasy",Movie,1,Finished Airing,18-Sep-20,,,Shochiku,Funimation,Kyoto Animation,Light novel,2 hr. 20 min.,PG-13 - Teens 13 or older,605,"269,276","1,972",21
21,Gintama: The Final,8.83,"Action, Sci-Fi, Comedy, Historical, Parody, Drama, Samurai, Shounen",Movie,1,Finished Airing,8-Jan-21,,,"TV Tokyo, Warner Bros. Japan",Eleven Arts,Bandai Namco Pictures,Manga,1 hr. 44 min.,PG-13 - Teens 13 or older,2518,"45,728",713,22
22,"Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
Haikyu!! 3rd Season",8.82,"Comedy, Sports, Drama, School, Shounen",TV,10,Finished Airing,"Oct 8, 2016 to Dec 10, 2016",Fall 2016,Saturdays at 01:55 (JST),"Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Sentai Filmworks,Production I.G,Manga,24 min. per ep.,PG-13 - Teens 13 or older,112,"859,193","12,680",23
23,Mob Psycho 100 II,8.82,"Action, Slice of Life, Comedy, Supernatural",TV,13,Finished Airing,"Jan 7, 2019 to Apr 1, 2019",Winter 2019,Mondays at 23:00 (JST),"Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan",Funimation,Bones,Web manga,24 min. per ep.,PG-13 - Teens 13 or older,92,"995,231","22,455",24
24,"Gintama.: Shirogane no Tamashii-hen
Gintama.: Silver Soul Arc",8.81,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018",Winter 2018,Mondays at 01:35 (JST),"TV Tokyo, Aniplex, Dentsu, Shueisha","None found, add some",Bandai Namco Pictures,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1130,"146,091",930,25
25,Kizumonogatari III: Reiketsu-hen,8.81,"Action, Mystery, Supernatural, Vampire",Movie,1,Finished Airing,6-Jan-17,,,"Aniplex, Kodansha",Aniplex of America,Shaft,Light novel,1 hr. 23 min.,R - 17+ (violence & profanity),449,"347,857","5,467",26
26,"Sen to Chihiro no Kamikakushi
Spirited Away",8.81,"Adventure, Supernatural, Drama",Movie,1,Finished Airing,20-Jul-01,,,Toho,"Walt Disney Studios, GKIDS",Studio Ghibli,Original,2 hr. 4 min.,PG - Children,41,"1,399,290","24,430",27
27,Monster,8.79,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,Finished Airing,"Apr 7, 2004 to Sep 28, 2005",Spring 2004,Wednesdays at 00:40 (JST),"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",VIZ Media,Madhouse,Manga,24 min. per ep.,R+ - Mild Nudity,158,"705,183","29,707",28
28,Monogatari Series: Second Season,8.78,"Mystery, Comedy, Supernatural, Romance, Vampire",TV,26,Finished Airing,"Jul 7, 2013 to Dec 29, 2013",Summer 2013,Sundays at 00:00 (JST),"Aniplex, Kodansha, Cyclone Graphics",Aniplex of America,Shaft,Light novel,24 min. per ep.,R - 17+ (violence & profanity),249,"549,907","20,418",29
29,"Fate/stay night Movie: Heaven's Feel - III. Spring Song
Fate/stay night: Heaven's Feel - III. Spring Song",8.78,"Action, Supernatural, Magic, Fantasy",Movie,1,Finished Airing,15-Aug-20,,,"Aniplex, Notes, Kadokawa",Aniplex of America,ufotable,Visual novel,2 hr. 2 min.,R - 17+ (violence & profanity),861,"193,783","4,462",30
30,Cowboy Bebop,8.77,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,Saturdays at 01:00 (JST),Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),45,"1,387,911","60,975",31
31,Jujutsu Kaisen (TV),8.77,"Action, Demons, Supernatural, School, Shounen",TV,24,Finished Airing,"Oct 3, 2020 to Mar 27, 2021",Fall 2020,Saturdays at 01:25 (JST),"Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap","None found, add some",MAPPA,Manga,23 min. per ep.,R - 17+ (violence & profanity),56,"1,256,848","45,885",32
32,"Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen
Descending Stories: Showa Genroku Rakugo Shinju",8.77,"Drama, Historical, Josei",TV,12,Finished Airing,"Jan 7, 2017 to Mar 25, 2017",Winter 2017,Saturdays at 02:25 (JST),"Mainichi Broadcasting System, Kodansha, DAX Production, King Records","None found, add some",Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1080,"152,326","2,663",33
33,"Kimetsu no Yaiba Movie: Mugen Ressha-hen
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",8.76,"Action, Historical, Demons, Supernatural, Shounen",Movie,1,Finished Airing,16-Oct-20,,,"Aniplex, Shueisha",Aniplex of America,ufotable,Manga,1 hr. 56 min.,R - 17+ (violence & profanity),180,"673,552","7,412",34
34,Mushishi Zoku Shou 2nd Season,8.75,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,Finished Airing,"Oct 19, 2014 to Dec 21, 2014",Fall 2014,Sundays at 00:30 (JST),"Aniplex, Kodansha, Delfi Sound",Aniplex of America,Artland,Manga,23 min. per ep.,PG-13 - Teens 13 or older,768,"214,242","1,152",35
35,"Hajime no Ippo
Fighting Spirit",8.74,"Comedy, Sports, Drama, Shounen",TV,75,Finished Airing,"Oct 4, 2000 to Mar 27, 2002",Fall 2000,Tuesdays at 00:50 (JST),VAP,"Discotek Media, Geneon Entertainment USA",Madhouse,Manga,23 min. per ep.,PG-13 - Teens 13 or older,358,"420,516","15,361",36
36,Odd Taxi,8.73,Mystery,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,Tuesdays at 02:00 (JST),"Pony Canyon, Pony Canyon Enterprise","None found, add some","OLM, P.I.C.S.",Original,23 min. per ep.,PG-13 - Teens 13 or older,1486,"102,257","1,476",37
37,"Mushishi Zoku Shou
MUSHI-SHI -Next Passage-",8.72,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",TV,10,Finished Airing,"Apr 5, 2014 to Jun 21, 2014",Spring 2014,Saturdays at 00:00 (JST),"Aniplex, Kodansha, Delfi Sound",Aniplex of America,Artland,Manga,24 min. per ep.,PG-13 - Teens 13 or older,673,"244,004","1,279",38
38,"Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
Samurai X: Trust and Betrayal",8.72,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4,Finished Airing,"Feb 20, 1999 to Sep 22, 1999",,,Aniplex,"ADV Films, Aniplex of America",Studio Deen,Manga,30 min. per ep.,R - 17+ (violence & profanity),689,"238,670","5,443",39
39,Vinland Saga,8.71,"Action, Adventure, Drama, Historical, Seinen",TV,24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",Summer 2019,Mondays at 00:10 (JST),"Production I.G, Dentsu, Kodansha, Twin Engine",Sentai Filmworks,Wit Studio,Manga,24 min. per ep.,R - 17+ (violence & profanity),120,"836,361","21,828",40
40,"Code Geass: Hangyaku no Lelouch
Code Geass: Lelouch of the Rebellion",8.71,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School",TV,25,Finished Airing,"Oct 6, 2006 to Jul 29, 2007",Fall 2006,Fridays at 01:25 (JST),"Bandai Visual, Mainichi Broadcasting System, Bandai, Sony Music Entertainment, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),17,"1,752,556","89,027",41
41,Made in Abyss,8.71,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",TV,13,Finished Airing,"Jul 7, 2017 to Sep 29, 2017",Summer 2017,Fridays at 21:30 (JST),"Media Factory, AT-X, Takeshobo, Sony Music Communications, Kadokawa Media House, Cygames, Kanetsu Investment, Global Solutions",Sentai Filmworks,Kinema Citrus,Web manga,25 min. per ep.,R - 17+ (violence & profanity),97,"968,508","31,698",42
42,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.71,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",Movie,1,Finished Airing,17-Jan-20,,,"None found, add some",Sentai Filmworks,Kinema Citrus,Web manga,1 hr. 45 min.,R - 17+ (violence & profanity),636,"256,385","1,845",43
43,Great Teacher Onizuka,8.7,"Slice of Life, Comedy, Drama, School, Shounen",TV,43,Finished Airing,"Jun 30, 1999 to Sep 17, 2000",Summer 1999,Wednesdays at 19:30 (JST),"Aniplex, Fuji TV","Discotek Media, Tokyopop",Studio Pierrot,Manga,25 min. per ep.,R - 17+ (violence & profanity),196,"641,520","20,520",44
44,"Mononoke Hime
Princess Mononoke",8.7,"Action, Adventure, Fantasy",Movie,1,Finished Airing,12-Jul-97,,,"Tokuma Shoten, Nippon Television Network",GKIDS,Studio Ghibli,Original,2 hr. 13 min.,PG-13 - Teens 13 or older,98,"961,835","16,355",45
45,"Shigatsu wa Kimi no Uso
Your Lie in April",8.7,"Drama, Music, Romance, School, Shounen",TV,22,Finished Airing,"Oct 10, 2014 to Mar 20, 2015",Fall 2014,Fridays at 01:20 (JST),"Aniplex, Dentsu, Kodansha, Fuji TV, Kyoraku Industrial Holdings",Aniplex of America,A-1 Pictures,Manga,22 min. per ep.,PG-13 - Teens 13 or older,22,"1,658,879","70,512",46
