Title,English_Title,Score,Genres,Type,Episodes,Status,Start_Date,End_Date,Premiered,Broadcast,Producers,Licensors,Studios,Source,Duration_Minutes,Rating,Popularity,Members,Favorites,Ranked
Naruto SD: Rock Lee no Seishun Full-Power Ninden,NARUTO Spin-Off: Rock Lee & His Ninja Pals,7.15,"Action, Comedy, Parody",TV,51,Finished Airing,4/3/2012,3/26/2013,Spring 2012,Tuesdays at 18:00 (JST),"TV Tokyo, Shueisha",VIZ Media,Studio Pierrot,Manga,24,PG-13 - Teens 13 or older,1900,75552,243,3038
Naruto: Honoo no Chuunin Shiken! Naruto vs. Konohamaru!!,Chunin Exam on Fire! and Naruto vs. Konohamaru!,7.15,"Action, Adventure, Super Power, Martial Arts, Shounen",Movie,1,Finished Airing,7/30/2011,,,,Shueisha,VIZ Media,Studio Pierrot,Manga,14,PG-13 - Teens 13 or older,2138,63236,31,3039
"Naruto: Shippuuden - Shippuu! ""Konoha Gakuen"" Den",Naruto Shippuden: Konoha Gakuen - Special,7.15,Comedy,Special,1,Finished Airing,2/6/2008,,,,Bandai,"None found, add some",Studio Pierrot,Unknown,8,PG-13 - Teens 13 or older,2281,56626,174,3040
One Piece: Yume no Soccer Ou!,,7.15,"Comedy, Fantasy, Shounen, Sports",Movie,1,Finished Airing,3/2/2002,,,,"None found, add some","None found, add some",Toei Animation,Manga,5,PG-13 - Teens 13 or older,2887,36414,15,3041
Onegai☆Teacher,Please Teacher!,7.15,"Sci-Fi, Comedy, Drama, Romance, School",TV,12,Finished Airing,1/10/2002,3/28/2002,Winter 2002,Thursdays at Unknown,"Bandai Visual, Genco","Nozomi Entertainment, Bandai Entertainment",Daume,Original,23,PG-13 - Teens 13 or older,1086,155333,850,3042
Princess Nine: Kisaragi Joshikou Yakyuubu,Princess Nine,7.15,"Sports, Romance, Drama",TV,26,Finished Airing,4/8/1998,10/14/1998,Spring 1998,Wednesdays at 18:00 (JST),NHK,"ADV Films, Nozomi Entertainment",Phoenix Entertainment,Original,25,PG-13 - Teens 13 or older,5155,10164,38,3043
Sayonara Gokko,,7.15,"Music, Dementia",Music,1,Finished Airing,2/12/2019,,,,"None found, add some","None found, add some","None found, add some",Music,2,PG-13 - Teens 13 or older,8176,3072,2,3044
Shingeki! Kyojin Chuugakkou,Attack on Titan: Junior High,7.15,"Comedy, Parody, School, Shounen",TV,12,Finished Airing,10/4/2015,12/20/2015,Fall 2015,Sundays at 01:58 (JST),"Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprise",Funimation,Production I.G,Manga,17,PG-13 - Teens 13 or older,887,195558,581,3045
Soukou Kihei Votoms: The Last Red Shoulder,Armored Trooper Votoms: The Last Red Shoulder,7.15,"Action, Drama, Mecha, Military, Sci-Fi",OVA,1,Finished Airing,8/21/1985,,,,"None found, add some",Maiden Japan,Sunrise,Original,54,PG-13 - Teens 13 or older,7903,3406,3,3046
Starmyu OVA,,7.15,"Music, Slice of Life, School",OVA,2,Finished Airing,7/27/2016,9/21/2016,,,"None found, add some","None found, add some",C-Station,Original,23,PG-13 - Teens 13 or older,6146,6588,15,3047
Steins;Gate 0: Kesshou Takei no Valentine - Bittersweet Intermedio,,7.15,Comedy,Special,1,Finished Airing,12/21/2018,,,,"None found, add some",Funimation,White Fox,Visual novel,23,PG-13 - Teens 13 or older,1891,76906,138,3048
Tamayura,,7.15,"Slice of Life, Comedy, Drama",OVA,4,Finished Airing,9/6/2010,12/6/2010,,,"Shochiku, TYO Animations, flying DOG, BIGLOBE, RAY",Nozomi Entertainment,Hal Film Maker,Original,18,G - All Ages,2811,38145,114,3049
The iDOLM@STER Cinderella Girls,,7.15,"Comedy, Drama, Music",TV,13,Finished Airing,1/10/2015,4/11/2015,Winter 2015,Saturdays at 00:00 (JST),"Aniplex, Half H.P Studio, Nippon Columbia, Bandai Namco Games, Anime Consortium Japan, Cygames","None found, add some",A-1 Pictures,Game,24,PG-13 - Teens 13 or older,2056,66744,450,3050
Tokimeki Tonight,,7.15,"Comedy, Fantasy, Romance, Shoujo, Vampire",TV,34,Finished Airing,10/7/1982,9/22/1983,Fall 1982,Thursdays at 19:00 (JST),Toho,"None found, add some",Group TAC,Manga,24,PG - Children,5801,7581,34,3051
Tonari no Yamada-kun,My Neighbors the Yamadas,7.15,"Slice of Life, Comedy",Movie,1,Finished Airing,7/17/1999,,,,Tokuma Shoten,"Walt Disney Studios, GKIDS",Studio Ghibli,4-koma manga,104,G - All Ages,2846,37415,81,3052
Tonkatsu DJ Agetarou,,7.15,"Music, Comedy, Shounen",TV,12,Finished Airing,4/10/2016,6/26/2016,Spring 2016,Sundays at 22:15 (JST),"YTV, DAX Production, Shueisha, Yomiuri TV Enterprise","None found, add some",Studio Deen,Manga,9,PG-13 - Teens 13 or older,4804,12155,89,3053
Ushio to Tora,Ushio and Tora,7.15,"Action, Comedy, Horror",OVA,10,Finished Airing,9/11/1992,8/1/1993,,,"OB Planning, Toshiba EMI, Toho, Shogakukan",ADV Films,Pastel,Manga,30,PG-13 - Teens 13 or older,4829,12007,34,3054
Yes! Precure 5,Yes! Pretty Cure 5,7.15,"Action, Fantasy, Magic, School, Shoujo",TV,49,Finished Airing,2/4/2007,1/27/2008,Winter 2007,Unknown,Asahi Broadcasting,"None found, add some",Toei Animation,Original,24,G - All Ages,4592,13619,74,3055
Yume-iro Pâtissière: Mune Kyun Tropical Island!,,7.15,"Kids, School, Shoujo",Special,1,Finished Airing,7/30/2010,,,,Shueisha,"None found, add some",Studio Pierrot,Manga,7,G - All Ages,5208,9929,9,3056
Zutto Mae kara Suki deshita.: Kokuhaku Jikkou Iinkai - Kinyoubi no Ohayou,,7.15,"Romance, School",Special,1,Finished Airing,10/26/2016,,,,Aniplex,"None found, add some","None found, add some",Music,3,PG - Children,4272,16592,22,3057
Aishen Qiaokeli-ing...II,,7.15,"Harem, Comedy, Romance, School",ONA,15,Finished Airing,12/21/2017,4/5/2018,,,"Tencent Animation & Comics, bilibili","None found, add some",B.CMAY PICTURES,Web manga,19,PG-13 - Teens 13 or older,3533,25025,78,3058
Aku no Hana,Flowers of Evil,7.15,"Psychological, Drama, Romance, School, Shounen",TV,13,Finished Airing,4/5/2013,6/30/2013,Spring 2013,Unknown,"Starchild Records, Animax, Kodansha, KlockWorx, GANSIS",Sentai Filmworks,Zexcs,Manga,24,R - 17+ (violence & profanity),950,178397,2523,3059
Blood Lad: Wagahai wa Neko de wa Nai,Blood Lad OVA,7.15,"Action, Comedy, Demons, Seinen, Supernatural, Vampire",OVA,1,Finished Airing,12/4/2013,,,,Kadokawa Shoten,VIZ Media,Brain's Base,Manga,27,PG-13 - Teens 13 or older,1618,96047,46,3060
Boku no Chikyuu wo Mamotte,Please Save My Earth,7.15,"Drama, Sci-Fi, Shoujo",OVA,6,Finished Airing,12/17/1993,9/23/1994,,,"Victor Entertainment, Hakusensha",VIZ Media,Production I.G,Manga,30,PG-13 - Teens 13 or older,4384,15352,111,3061
Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,My Hero Academia: Make It! Do-or-Die Survival Training,7.15,"Action, Super Power, Shounen",ONA,2,Finished Airing,8/16/2020,,,,"None found, add some",Funimation,Bones,Manga,23,PG-13 - Teens 13 or older,1390,116908,133,3062
Buddy Complex,,7.15,"Action, Sci-Fi, Mecha",TV,13,Finished Airing,1/6/2014,3/31/2014,Winter 2014,Mondays at 00:00 (JST),"Bandai Visual, Lantis, Bandai Namco Live Creative, Bandai Namco Games, Banpresto, Bandai Channel",Funimation,Sunrise,Original,24,PG-13 - Teens 13 or older,1888,76418,190,3063
Chibi Revenger,,7.16,Comedy,ONA,Unknown,Currently Airing,4/12/2021,,,,"None found, add some","None found, add some","Studio PuYUKAI, LIDENFILMS",Manga,2,PG-13 - Teens 13 or older,7788,3560,13,3064
Choujigen Game Neptune The Animation: Nep no Natsuyasumi,,7.15,"Action, Comedy, Fantasy, Sci-Fi",OVA,1,Finished Airing,7/8/2019,,,,Frontier Works,"None found, add some",Okuruto Noboru,Game,26,PG-13 - Teens 13 or older,5158,10197,21,3065
Cosmic Baton Girl Comet-san☆,,7.15,"Adventure, Comedy, Drama, Magic, Sci-Fi",TV,43,Finished Airing,4/1/2001,1/27/2002,Spring 2001,Sundays at 09:30 (JST),"Group TAC, Yomiko Advertising","None found, add some",Nippon Animation,Manga,24,G - All Ages,7938,3373,29,3066
D.C.if: Da Capo if,,7.15,"Harem, Drama, Magic, Romance",OVA,2,Finished Airing,12/25/2008,3/25/2009,,,"None found, add some","None found, add some",Zexcs,Visual novel,26,PG-13 - Teens 13 or older,4444,14781,17,3067
Detective Conan: The Scarlet Alibi,,7.15,"Action, Mystery, Comedy, Police, Drama, Shounen",Movie,1,Finished Airing,2/11/2021,,,,"None found, add some","None found, add some",TMS Entertainment,Manga,94,PG-13 - Teens 13 or older,7306,4312,38,3068
Devilman: Tanjou-hen,Devilman: The Birth,7.15,"Demons, Horror, Sci-Fi, Supernatural",OVA,1,Finished Airing,11/1/1987,,,,"Kodansha, Dynamic Planning","Discotek Media, Manga Entertainment",Oh! Production,Manga,50,R+ - Mild Nudity,3595,23945,243,3069
Digimon Frontier,,7.15,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",TV,50,Finished Airing,4/7/2002,3/30/2003,Spring 2002,Sundays at 09:00 (JST),"Yomiko Advertising, Fuji TV",Flatiron Film Company,Toei Animation,Original,23,PG - Children,1227,136142,483,3070
Doraemon Movie 17: Nobita to Ginga Express,Doraemon the Movie: Nobita and the Galaxy Super-express,7.15,Fantasy,Movie,1,Finished Airing,3/2/1996,,,,"None found, add some","None found, add some",Shin-Ei Animation,Unknown,97,PG - Children,6690,5324,3,3071
Doraemon Movie 30: Nobita no Ningyo Daikaisen,,7.15,"Adventure, Comedy, Fantasy, Kids, Shounen",Movie,1,Finished Airing,3/6/2010,,,,TV Asahi,"None found, add some",Shin-Ei Animation,Manga,99,PG - Children,7294,4317,2,3072
Dr. Slump: Arale-chan,,7.15,"Sci-Fi, Slice of Life, Comedy, Shounen",TV,243,Finished Airing,4/8/1981,2/19/1986,Spring 1981,Wednesdays at 19:00 (JST),"Fuji TV, Harmony Gold","None found, add some",Toei Animation,Manga,25,PG-13 - Teens 13 or older,4788,12243,41,3073
Dr. Stone: Stone Wars - Kaisen Zenya Special Eizou,Dr. Stone: Stone Wars Eve of the Battle Special Feature,7.15,"Sci-Fi, Adventure, Shounen",Special,1,Finished Airing,10/11/2020,,,,"None found, add some","None found, add some",TMS Entertainment,Manga,22,PG-13 - Teens 13 or older,2802,38631,34,3074
Galaxy Angel 3 Specials,,7.15,"Comedy, Sci-Fi",Special,2,Finished Airing,11/28/2003,,,,Broccoli,"Nozomi Entertainment, Bandai Entertainment","None found, add some",Unknown,13,PG - Children,7940,3365,2,3075
Garo: Vanishing Line,GARO -VANISHING LINE-,7.15,"Action, Demons, Supernatural, Fantasy",TV,24,Finished Airing,10/7/2017,3/31/2018,Fall 2017,Saturdays at 01:23 (JST),Tohokushinsha Film Corporation,Funimation,MAPPA,Original,24,R - 17+ (violence & profanity),2100,64806,107,3076
Guilty Crown: Kiseki - Reassortment,Guilty Crown Locus: Reassortment,7.15,"Action, Sci-Fi, Super Power",Special,1,Finished Airing,1/3/2012,,,,"None found, add some","None found, add some",Production I.G,Original,48,R - 17+ (violence & profanity),2959,34841,35,3077
Gunslinger Girl: Il Teatrino,,7.15,"Action, Drama, Military, Sci-Fi",TV,13,Finished Airing,1/7/2008,4/1/2008,Winter 2008,Unknown,Marvelous,Funimation,Artland,Manga,25,R - 17+ (violence & profanity),2310,55460,104,3078
"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari! Season 2",Ace Attorney Season 2,7.15,"Comedy, Drama, Mystery, Police",TV,23,Finished Airing,10/6/2018,3/30/2019,Fall 2018,Saturdays at 17:30 (JST),"Aniplex, Capcom",Funimation,CloverWorks,Game,24,PG-13 - Teens 13 or older,3183,30515,102,3079
Hi no Ame ga Furu,,7.15,"Drama, Historical",Movie,1,Finished Airing,9/15/1988,,,,"None found, add some","None found, add some",Mushi Production,Unknown,80,G - All Ages,10152,1395,2,3080
Himouto! Umaru-chan,,7.15,"Comedy, School, Seinen, Slice of Life",TV,12,Finished Airing,7/9/2015,9/24/2015,Summer 2015,Thursdays at 02:14 (JST),"AT-X, TOHO animation, Good Smile Company, Shueisha, BS11, Jinnan Studio, RAY",Sentai Filmworks,Doga Kobo,Manga,24,PG-13 - Teens 13 or older,250,564452,3901,3081
Hitchcock,,7.15,Music,Music,1,Finished Airing,4/11/2018,,,,"None found, add some","None found, add some","None found, add some",Original,3,PG-13 - Teens 13 or older,11895,693,1,3082
K: Seven Stories Movie 6 - Circle Vision - Nameless Song,"K: SEVEN STORIES ""Circle Vision - Nameless Song - """,7.15,"Action, Super Power, Supernatural",Movie,1,Finished Airing,12/1/2018,,,,"None found, add some",VIZ Media,GoHands,Original,58,PG-13 - Teens 13 or older,4350,15740,16,3083
Kenkou Zenrakei Suieibu Umishou,,7.15,"Comedy, Sports, Ecchi, School, Shounen",TV,13,Finished Airing,7/4/2007,9/26/2007,Summer 2007,Unknown,"Geneon Universal Entertainment, Marvelous, Pony Canyon, Pony Canyon Enterprise","None found, add some",Artland,Manga,25,PG-13 - Teens 13 or older,2937,35292,86,3084
Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi,Ghost in the Shell: Stand Alone Complex: Tachikomatic Days,7.15,"Sci-Fi, Comedy, Mecha",Special,26,Finished Airing,10/1/2002,3/25/2003,,,"Bandai Visual, Dentsu, Victor Entertainment, Animax",Bandai Entertainment,Production I.G,Unknown,1,PG - Children,3590,23948,32,3085
Kurokami The Animation,,7.15,"Action, Super Power, Martial Arts, Seinen",TV,23,Finished Airing,1/9/2009,6/19/2009,Winter 2009,Fridays at 02:40 (JST),"Bandai Visual, TV Asahi, Square Enix","Bandai Entertainment, Sentai Filmworks, NYAV Post",Sunrise,Manga,23,R - 17+ (violence & profanity),1434,110401,301,3086
Ling Jian Zun 3rd Season,,7.15,"Action, Adventure, Romance, Martial Arts, Fantasy",ONA,40,Finished Airing,12/24/2019,5/15/2020,,,"None found, add some","None found, add some",Soyep,Novel,10,PG-13 - Teens 13 or older,10193,1399,3,3087
Lodoss-tou Senki: Eiyuu Kishi Den,Record of Lodoss War: Chronicles of the Heroic Knight,7.15,"Action, Adventure, Drama, Magic, Romance, Fantasy",TV,27,Finished Airing,4/1/1998,9/30/1998,Spring 1998,Wednesdays at 18:00 (JST),"Kadokawa Shoten, Yomiko Advertising, Marubeni","Funimation, Central Park Media",AIC,Novel,24,PG-13 - Teens 13 or older,3389,27074,106,3088
Love Live! School Idol Festival All Stars,,7.15,Music,ONA,1,Finished Airing,9/19/2018,,,,"None found, add some","None found, add some",Sunrise,Unknown,4,PG-13 - Teens 13 or older,7687,3724,17,3089
Lupin III: $1 Money Wars,Lupin III: Missed by a Dollar,7.15,"Action, Adventure, Mystery, Comedy, Seinen",Special,1,Finished Airing,7/28/2000,,,,"VAP, Tohokushinsha Film Corporation","Funimation, Discotek Media",TMS Entertainment,Unknown,90,PG-13 - Teens 13 or older,6461,5810,2,3090
Madan no Ou to Vanadis,Lord Marksman and Vanadis,7.15,"Adventure, Ecchi, Fantasy, Harem, Romance",TV,13,Finished Airing,10/4/2014,12/27/2014,Fall 2014,Saturdays at 20:00 (JST),"Media Factory, Movic",Funimation,Satelight,Light novel,24,R - 17+ (violence & profanity),567,288418,832,3091
