Title,English_Title,Score,Genres,Type,Episodes,Status,Start_Date,End_Date,Premiered,Broadcast,Producers,Licensors,Studios,Source,Duration_Minutes,Rating,Popularity,Members,Favorites,Ranked
Fullmetal Alchemist: Brotherhood,,9.16,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",TV,64,Finished Airing,4/5/2009,7/4/2010,Spring 2009,Sundays at 17:00 (JST),"Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Funimation, Aniplex of America",Bones,Manga,24,R - 17+ (violence & profanity),3,2565409,182220,1
Gintama: The Final,,9.1,"Action, Sci-Fi, Comedy, Historical, Parody, Drama, Samurai, Shounen",Movie,1,Finished Airing,1/8/2021,,,,"TV Tokyo, Warner Bros. Japan",Eleven Arts,Bandai Namco Pictures,Manga,104,PG-13 - Teens 13 or older,2255,58201,1619,2
Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,9.1,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power",TV,10,Finished Airing,4/29/2019,7/1/2019,Spring 2019,Mondays at 00:10 (JST),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,Wit Studio,Manga,23,R - 17+ (violence & profanity),36,1474599,42129,3
Steins;Gate,,9.1,"Sci-Fi, Psychological, Drama, Thriller",TV,24,Finished Airing,4/6/2011,9/14/2011,Spring 2011,Wednesdays at 02:05 (JST),"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",Funimation,White Fox,Visual novel,24,PG-13 - Teens 13 or older,11,2011149,154736,4
Fruits Basket: The Final,,9.09,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,13,Finished Airing,4/6/2021,6/29/2021,Spring 2021,Tuesdays at 01:30 (JST),"TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music",Funimation,TMS Entertainment,Manga,23,PG-13 - Teens 13 or older,722,233888,10260,5
Gintama°,Gintama Season 4,9.09,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,Finished Airing,4/8/2015,3/30/2016,Spring 2015,Wednesdays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll",Bandai Namco Pictures,Manga,24,PG-13 - Teens 13 or older,339,460506,11960,6
Hunter x Hunter (2011),Hunter x Hunter,9.07,"Action, Adventure, Fantasy, Shounen, Super Power",TV,148,Finished Airing,10/2/2011,9/24/2014,Fall 2011,Sundays at 10:55 (JST),"VAP, Nippon Television Network, Shueisha",VIZ Media,Madhouse,Manga,23,PG-13 - Teens 13 or older,10,2032236,156894,7
Ginga Eiyuu Densetsu,Legend of the Galactic Heroes,9.06,"Military, Sci-Fi, Space, Drama",OVA,110,Finished Airing,1/8/1988,3/17/1997,,,"TV Tokyo, Kitty Films, Tokuma Shoten, Tokuma Japan Communications",Sentai Filmworks,"K-Factory, Kitty Film Mitaka Studio",Novel,26,R - 17+ (violence & profanity),663,254479,13334,8
Gintama',Gintama Season 2,9.06,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",TV,51,Finished Airing,4/4/2011,3/26/2012,Spring 2011,Mondays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha","None found, add some",Sunrise,Manga,24,PG-13 - Teens 13 or older,381,410421,6149,9
Gintama': Enchousen,Gintama: Enchousen,9.04,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,Finished Airing,10/4/2012,3/28/2013,Fall 2012,Thursdays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus","None found, add some",Sunrise,Manga,24,PG-13 - Teens 13 or older,677,249484,2462,10
3-gatsu no Lion 2nd Season,March Comes In Like A Lion 2nd Season,8.98,"Drama, Game, Seinen, Slice of Life",TV,22,Finished Airing,10/14/2017,3/31/2018,Fall 2017,Saturdays at 23:00 (JST),"Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory",Aniplex of America,Shaft,Manga,25,PG-13 - Teens 13 or older,521,309840,12414,11
Gintama.,Gintama Season 5,8.98,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,12,Finished Airing,1/9/2017,3/27/2017,Winter 2017,Mondays at 01:35 (JST),"TV Tokyo, Aniplex, Dentsu, Shueisha","None found, add some",Bandai Namco Pictures,Manga,24,PG-13 - Teens 13 or older,730,233361,2214,12
Koe no Katachi,A Silent Voice,8.97,"Drama, School, Shounen",Movie,1,Finished Airing,9/17/2016,,,,"Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras","Eleven Arts, NYAV Post",Kyoto Animation,Manga,130,PG-13 - Teens 13 or older,24,1677778,64106,13
Clannad: After Story,Clannad ~After Story~,8.95,"Slice of Life, Comedy, Supernatural, Drama, Romance",TV,24,Finished Airing,10/3/2008,3/27/2009,Fall 2008,Fridays at 01:59 (JST),"Pony Canyon, TBS, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,Visual novel,24,PG-13 - Teens 13 or older,94,996071,62238,14
Gintama,,8.95,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,Finished Airing,4/4/2006,3/25/2010,Spring 2006,Thursdays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha","Sentai Filmworks, Crunchyroll",Sunrise,Manga,24,PG-13 - Teens 13 or older,122,848896,49206,15
Shingeki no Kyojin: The Final Season,Attack on Titan Final Season,8.95,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,16,Finished Airing,12/7/2020,3/29/2021,Winter 2021,Mondays at 00:10 (JST),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,MAPPA,Manga,23,R - 17+ (violence & profanity),61,1229751,46156,16
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,,8.94,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",Movie,1,Finished Airing,7/6/2013,,,,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha","None found, add some",Sunrise,Manga,110,PG-13 - Teens 13 or older,906,188083,1881,17
Code Geass: Hangyaku no Lelouch R2,Code Geass: Lelouch of the Rebellion R2,8.91,"Action, Military, Sci-Fi, Super Power, Drama, Mecha",TV,25,Finished Airing,4/6/2008,9/28/2008,Spring 2008,Sundays at 17:00 (JST),"Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment",Sunrise,Original,24,R - 17+ (violence & profanity),45,1416294,64791,18
Kimi no Na wa.,Your Name.,8.91,"Romance, Supernatural, School, Drama",Movie,1,Finished Airing,8/26/2016,,,,"Toho, Sound Team Don Juan, Amuse, JR East Marketing & Communications, Kadokawa, voque ting","Funimation, NYAV Post",CoMix Wave Films,Original,106,PG-13 - Teens 13 or older,9,2055372,72678,19
Owarimonogatari 2nd Season,Owarimonogatari Second Season,8.91,"Mystery, Comedy, Supernatural, Vampire",TV,7,Finished Airing,8/12/2017,8/13/2017,Summer 2017,Not scheduled once per week,"Aniplex, Kodansha",Aniplex of America,Shaft,Light novel,22,R - 17+ (violence & profanity),522,309734,6909,20
Shiguang Dailiren,Link Click,8.88,"Super Power, Drama, Fantasy",ONA,11,Finished Airing,4/30/2021,7/9/2021,,,bilibili,Funimation,Haoliners Animation League,Original,23,PG-13 - Teens 13 or older,1986,69339,2027,21
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Gintama.: Silver Soul Arc - Second Half War,8.88,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",TV,14,Finished Airing,7/9/2018,10/8/2018,Summer 2018,Mondays at 01:35 (JST),"TV Tokyo, Aniplex, Dentsu, Shueisha","None found, add some",Bandai Namco Pictures,Manga,24,PG-13 - Teens 13 or older,1216,137142,854,22
Violet Evergarden Movie,,8.87,"Slice of Life, Drama, Fantasy",Movie,1,Finished Airing,9/18/2020,,,,Shochiku,Funimation,Kyoto Animation,Light novel,140,PG-13 - Teens 13 or older,575,286684,2285,23
Gintama.: Shirogane no Tamashii-hen,Gintama.: Silver Soul Arc,8.82,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,12,Finished Airing,1/8/2018,3/26/2018,Winter 2018,Mondays at 01:35 (JST),"TV Tokyo, Aniplex, Dentsu, Shueisha","None found, add some",Bandai Namco Pictures,Manga,24,PG-13 - Teens 13 or older,1127,150322,953,24
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Haikyu!! 3rd Season,8.82,"Comedy, Sports, Drama, School, Shounen",TV,10,Finished Airing,10/8/2016,12/10/2016,Fall 2016,Saturdays at 01:55 (JST),"Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Sentai Filmworks,Production I.G,Manga,24,PG-13 - Teens 13 or older,113,885280,12927,25
Mob Psycho 100 II,,8.82,"Action, Slice of Life, Comedy, Supernatural",TV,13,Finished Airing,1/7/2019,4/1/2019,Winter 2019,Mondays at 23:00 (JST),"Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan",Funimation,Bones,Web manga,24,PG-13 - Teens 13 or older,91,1029727,23325,26
Kizumonogatari III: Reiketsu-hen,,8.81,"Action, Mystery, Supernatural, Vampire",Movie,1,Finished Airing,1/6/2017,,,,"Aniplex, Kodansha",Aniplex of America,Shaft,Light novel,83,R - 17+ (violence & profanity),447,355187,5637,27
Odd Taxi,,8.81,Mystery,TV,13,Finished Airing,4/6/2021,6/29/2021,Spring 2021,Tuesdays at 02:00 (JST),"Pony Canyon, Pony Canyon Enterprise","None found, add some","OLM, P.I.C.S.",Original,23,PG-13 - Teens 13 or older,1107,152383,2875,28
Sen to Chihiro no Kamikakushi,Spirited Away,8.8,"Adventure, Supernatural, Drama",Movie,1,Finished Airing,7/20/2001,,,,Toho,"Walt Disney Studios, GKIDS",Studio Ghibli,Original,124,PG - Children,42,1428613,24889,29
Monster,,8.79,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,Finished Airing,4/7/2004,9/28/2005,Spring 2004,Wednesdays at 00:40 (JST),"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",VIZ Media,Madhouse,Manga,24,R+ - Mild Nudity,161,723381,30642,30
Monogatari Series: Second Season,,8.78,"Mystery, Comedy, Supernatural, Romance, Vampire",TV,26,Finished Airing,7/7/2013,12/29/2013,Summer 2013,Sundays at 00:00 (JST),"Aniplex, Kodansha, Cyclone Graphics",Aniplex of America,Shaft,Light novel,24,R - 17+ (violence & profanity),251,558532,20724,31
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Descending Stories: Showa Genroku Rakugo Shinju,8.77,"Drama, Historical, Josei",TV,12,Finished Airing,1/7/2017,3/25/2017,Winter 2017,Saturdays at 02:25 (JST),"Mainichi Broadcasting System, Kodansha, DAX Production, King Records","None found, add some",Studio Deen,Manga,24,PG-13 - Teens 13 or older,1089,154720,2693,32
Cowboy Bebop,,8.77,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,Finished Airing,4/3/1998,4/24/1999,Spring 1998,Saturdays at 01:00 (JST),Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,Original,24,R - 17+ (violence & profanity),46,1414852,62076,33
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Fate/stay night: Heaven's Feel - III. Spring Song,8.77,"Action, Supernatural, Magic, Fantasy",Movie,1,Finished Airing,8/15/2020,,,,"Aniplex, Notes, Kadokawa",Aniplex of America,ufotable,Visual novel,122,R - 17+ (violence & profanity),823,205794,4847,34
Jujutsu Kaisen (TV),,8.75,"Action, Demons, Supernatural, School, Shounen",TV,24,Finished Airing,10/3/2020,3/27/2021,Fall 2020,Saturdays at 01:25 (JST),"Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap","None found, add some",MAPPA,Manga,23,R - 17+ (violence & profanity),49,1347590,49767,35
Mushishi Zoku Shou 2nd Season,,8.75,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,Finished Airing,10/19/2014,12/21/2014,Fall 2014,Sundays at 00:30 (JST),"Aniplex, Kodansha, Delfi Sound",Aniplex of America,Artland,Manga,23,PG-13 - Teens 13 or older,778,217256,1173,36
Hajime no Ippo,Fighting Spirit,8.74,"Comedy, Sports, Drama, Shounen",TV,75,Finished Airing,10/4/2000,3/27/2002,Fall 2000,Tuesdays at 00:50 (JST),VAP,"Discotek Media, Geneon Entertainment USA",Madhouse,Manga,23,PG-13 - Teens 13 or older,363,427574,15624,37
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.74,"Action, Historical, Demons, Supernatural, Shounen",Movie,1,Finished Airing,10/16/2020,,,,"Aniplex, Shueisha",Aniplex of America,ufotable,Manga,116,R - 17+ (violence & profanity),156,742911,8223,38
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X: Trust and Betrayal,8.72,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4,Finished Airing,2/20/1999,9/22/1999,,,Aniplex,"ADV Films, Aniplex of America",Studio Deen,Manga,30,R - 17+ (violence & profanity),702,240843,5493,39
Vinland Saga,,8.72,"Action, Adventure, Historical, Drama, Seinen",TV,24,Finished Airing,7/8/2019,12/30/2019,Summer 2019,Mondays at 00:10 (JST),"Production I.G, Dentsu, Kodansha, Twin Engine",Sentai Filmworks,Wit Studio,Manga,24,R - 17+ (violence & profanity),115,875540,23392,40
Mushishi Zoku Shou,MUSHI-SHI -Next Passage-,8.71,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",TV,10,Finished Airing,4/5/2014,6/21/2014,Spring 2014,Saturdays at 00:00 (JST),"Aniplex, Kodansha, Delfi Sound",Aniplex of America,Artland,Manga,24,PG-13 - Teens 13 or older,680,247397,1284,41
Code Geass: Hangyaku no Lelouch,Code Geass: Lelouch of the Rebellion,8.71,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School",TV,25,Finished Airing,10/6/2006,7/29/2007,Fall 2006,Fridays at 01:25 (JST),"Bandai Visual, Mainichi Broadcasting System, Bandai, Sony Music Entertainment, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment",Sunrise,Original,24,R - 17+ (violence & profanity),17,1785277,90360,42
Made in Abyss,,8.71,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",TV,13,Finished Airing,7/7/2017,9/29/2017,Summer 2017,Fridays at 21:30 (JST),"Media Factory, AT-X, Takeshobo, Sony Music Communications, Kadokawa Media House, Cygames, Kanetsu Investment, Global Solutions",Sentai Filmworks,Kinema Citrus,Web manga,25,R - 17+ (violence & profanity),97,989966,32295,43
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,,8.71,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",Movie,1,Finished Airing,1/17/2020,,,,"None found, add some",Sentai Filmworks,Kinema Citrus,Web manga,105,R - 17+ (violence & profanity),624,264878,1931,44
Great Teacher Onizuka,,8.7,"Slice of Life, Comedy, Drama, School, Shounen",TV,43,Finished Airing,6/30/1999,9/17/2000,Summer 1999,Wednesdays at 19:30 (JST),"Aniplex, Fuji TV","Discotek Media, Tokyopop",Studio Pierrot,Manga,25,R - 17+ (violence & profanity),198,652281,20898,45
Mononoke Hime,Princess Mononoke,8.7,"Action, Adventure, Fantasy",Movie,1,Finished Airing,7/12/1997,,,,"Tokuma Shoten, Nippon Television Network",GKIDS,Studio Ghibli,Original,133,PG-13 - Teens 13 or older,98,980102,16651,46
Shigatsu wa Kimi no Uso,Your Lie in April,8.7,"Music, Drama, Romance, School, Shounen",TV,22,Finished Airing,10/10/2014,3/20/2015,Fall 2014,Fridays at 01:20 (JST),"Aniplex, Dentsu, Kodansha, Fuji TV, Kyoraku Industrial Holdings",Aniplex of America,A-1 Pictures,Manga,22,PG-13 - Teens 13 or older,22,1699563,71720,47
Mushishi,Mushi-Shi,8.68,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",TV,26,Finished Airing,10/23/2005,6/19/2006,Fall 2005,Sundays at 03:40 (JST),"Avex Entertainment, Marvelous, SKY Perfect Well Think, Delfi Sound",Funimation,Artland,Manga,25,PG-13 - Teens 13 or older,179,677717,22911,48
Ashita no Joe 2,Rocky Joe 2,8.68,"Action, Drama, Shounen, Slice of Life, Sports",TV,47,Finished Airing,10/13/1980,8/31/1981,Fall 1980,Unknown,Annapuru,"None found, add some",Tokyo Movie Shinsha,Manga,24,PG-13 - Teens 13 or older,2951,35140,1673,49
Haikyuu!! Second Season,Haikyu!! 2nd Season,8.68,"Comedy, Sports, Drama, School, Shounen",TV,25,Finished Airing,10/4/2015,3/27/2016,Fall 2015,Sundays at 02:58 (JST),"Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Sentai Filmworks,Production I.G,Manga,24,PG-13 - Teens 13 or older,86,1065244,13730,50
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,Kaguya-sama: Love is War Season 2,8.68,"Comedy, Psychological, Romance, School, Seinen",TV,12,Finished Airing,4/11/2020,6/27/2020,Spring 2020,Saturdays at 23:30 (JST),"Aniplex, Mainichi Broadcasting System, Shueisha, JR East Marketing & Communications",Aniplex of America,A-1 Pictures,Manga,24,PG-13 - Teens 13 or older,116,864758,16151,51
Hajime no Ippo: New Challenger,Fighting Spirit: New Challenger,8.66,"Comedy, Sports, Drama, Shounen",TV,26,Finished Airing,1/7/2009,7/1/2009,Winter 2009,Wednesdays at 01:29 (JST),"VAP, Kodansha, Nippon Television Network","None found, add some",Madhouse,Manga,23,PG-13 - Teens 13 or older,770,219757,1449,52
Howl no Ugoku Shiro,Howl's Moving Castle,8.66,"Adventure, Drama, Fantasy, Romance",Movie,1,Finished Airing,11/20/2004,,,,"d-rights, Tokuma Shoten",Walt Disney Studios,Studio Ghibli,Novel,119,G - All Ages,99,980692,19144,53
Natsume Yuujinchou Shi,Natsume's Book of Friends Season 4,8.66,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,13,Finished Airing,1/3/2012,3/27/2012,Winter 2012,Tuesdays at 01:30 (JST),"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha, Sony Music Entertainment","NIS America, Inc.",Brain's Base,Manga,24,PG-13 - Teens 13 or older,815,207294,1778,54
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Rascal Does Not Dream of a Dreaming Girl,8.65,"Drama, Romance, School, Supernatural",Movie,1,Finished Airing,6/15/2019,,,,"Aniplex, Tokyo MX, Hakuhodo DY Music & Pictures, Nagoya Broadcasting Network, BS11, ABC Animation, Kadokawa",Aniplex of America,CloverWorks,Light novel,90,PG-13 - Teens 13 or older,328,475201,7520,55
Tengen Toppa Gurren Lagann,Gurren Lagann,8.65,"Action, Sci-Fi, Adventure, Comedy, Mecha",TV,27,Finished Airing,4/1/2007,9/30/2007,Spring 2007,Sundays at 08:30 (JST),"TV Tokyo, Aniplex, Dentsu, Konami, Half H.P Studio, Bandai","ADV Films, Bandai Entertainment, Aniplex of America",Gainax,Original,24,PG-13 - Teens 13 or older,54,1327984,67129,56
Violet Evergarden,,8.65,"Slice of Life, Drama, Fantasy",TV,13,Finished Airing,1/11/2018,4/5/2018,Winter 2018,Thursdays at 00:00 (JST),"Lantis, Pony Canyon, Rakuonsha, ABC Animation",Funimation,Kyoto Animation,Light novel,24,PG-13 - Teens 13 or older,57,1275704,40852,57
Natsume Yuujinchou Roku,Natsume's Book of Friends Season 6,8.64,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,11,Finished Airing,4/12/2017,6/21/2017,Spring 2017,Wednesdays at 01:35 (JST),"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha","None found, add some",Shuka,Manga,23,PG-13 - Teens 13 or older,1133,149241,887,58
Suzumiya Haruhi no Shoushitsu,The Disappearance of Haruhi Suzumiya,8.64,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,Finished Airing,2/6/2010,,,,"Kadokawa Shoten, Animation Do","Funimation, Bandai Entertainment",Kyoto Animation,Light novel,162,PG-13 - Teens 13 or older,289,521807,11667,59
Shingeki no Kyojin Season 3,Attack on Titan Season 3,8.63,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,12,Finished Airing,7/23/2018,10/15/2018,Summer 2018,Mondays at 00:35 (JST),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,Wit Studio,Manga,23,R - 17+ (violence & profanity),30,1605939,15454,60
Death Note,,8.63,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen",TV,37,Finished Airing,10/4/2006,6/27/2007,Fall 2006,Wednesdays at 00:56 (JST),"VAP, Konami, Ashi Production, Nippon Television Network, Shueisha",VIZ Media,Madhouse,Manga,23,R - 17+ (violence & profanity),1,3007722,137007,61
Ookami Kodomo no Ame to Yuki,Wolf Children,8.62,"Fantasy, Slice of Life",Movie,1,Finished Airing,7/21/2012,,,,"Madhouse, VAP, Dentsu, Yomiuri Telecasting, Kadokawa Shoten, Toho, Hiroshima Television",Funimation,Studio Chizu,Original,117,G - All Ages,181,673975,9848,62
Ping Pong the Animation,,8.62,"Drama, Psychological, Seinen, Sports",TV,11,Finished Airing,4/11/2014,6/20/2014,Spring 2014,Fridays at 00:50 (JST),"Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings, Science SARU",Funimation,Tatsunoko Production,Manga,23,PG-13 - Teens 13 or older,537,303551,12284,63
Mushishi Zoku Shou: Suzu no Shizuku,,8.61,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,Finished Airing,5/16/2015,,,,"Aniplex, Kodansha, Delfi Sound","None found, add some",Artland,Manga,47,PG-13 - Teens 13 or older,1482,105078,179,64
Yojouhan Shinwa Taikei,The Tatami Galaxy,8.6,"Mystery, Comedy, Psychological, Romance",TV,11,Finished Airing,4/23/2010,7/2/2010,Spring 2010,Fridays at 00:45 (JST),"Dentsu, Kadokawa Shoten, Fuji TV, Toho, Asmik Ace, Tohokushinsha Film Corporation, Sony Music Entertainment, Fujipacific Music",Funimation,Madhouse,Novel,23,R - 17+ (violence & profanity),459,348782,14839,65
Kizumonogatari II: Nekketsu-hen,Kizumonogatari Part 2: Nekketsu,8.6,"Action, Mystery, Supernatural, Vampire",Movie,1,Finished Airing,8/19/2016,,,,"Aniplex, Kodansha",Aniplex of America,Shaft,Light novel,64,R - 17+ (violence & profanity),458,348135,1929,66
Hajime no Ippo: Rising,Hajime No Ippo: The Fighting!,8.59,"Comedy, Sports, Drama, Shounen",TV,25,Finished Airing,10/6/2013,3/29/2014,Fall 2013,Sundays at 01:35 (JST),"VAP, Kodansha, Nippon Television Network","None found, add some","Madhouse, MAPPA",Manga,22,PG-13 - Teens 13 or older,889,193632,949,67
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,JoJo's Bizarre Adventure: Golden Wind,8.59,"Action, Adventure, Shounen",TV,39,Finished Airing,10/6/2018,7/28/2019,Fall 2018,Saturdays at 01:05 (JST),"Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha",VIZ Media,David Production,Manga,23,R - 17+ (violence & profanity),180,674809,21956,68
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish",8.59,"Slice of Life, Drama, Romance",Movie,1,Finished Airing,12/25/2020,,,,"Shochiku, Kadokawa, Sonilude",Funimation,Bones,Novel,98,PG-13 - Teens 13 or older,1024,164619,2530,69
Kimi no Suizou wo Tabetai,I want to eat your pancreas,8.59,"Slice of Life, Drama, Romance",Movie,1,Finished Airing,9/1/2018,,,,Aniplex,Aniplex of America,Studio VOLN,Novel,108,PG-13 - Teens 13 or older,225,604703,13387,70
Natsume Yuujinchou San,Natsume's Book of Friends Season 3,8.59,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,13,Finished Airing,7/5/2011,9/27/2011,Summer 2011,Tuesdays at 01:30 (JST),"Aniplex, Sakura Create","NIS America, Inc.",Brain's Base,Manga,24,PG-13 - Teens 13 or older,792,214771,1229,71
Shouwa Genroku Rakugo Shinjuu,Showa Genroku Rakugo Shinju,8.59,"Drama, Historical, Josei",TV,13,Finished Airing,1/9/2016,4/2/2016,Winter 2016,Saturdays at 02:25 (JST),"Starchild Records, Mainichi Broadcasting System, Kodansha, DAX Production","None found, add some",Studio Deen,Manga,26,PG-13 - Teens 13 or older,693,243698,5120,72
Yakusoku no Neverland,The Promised Neverland,8.59,"Sci-Fi, Mystery, Horror, Psychological, Thriller, Shounen",TV,12,Finished Airing,1/10/2019,3/29/2019,Winter 2019,Fridays at 00:55 (JST),"Aniplex, Dentsu, Fuji TV, Shueisha, CA-Cygames Anime Fund",Aniplex of America,CloverWorks,Manga,22,R - 17+ (violence & profanity),41,1432162,29519,73
Natsume Yuujinchou Go,Natsume's Book of Friends Season 5,8.58,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,11,Finished Airing,10/5/2016,12/21/2016,Fall 2016,Wednesdays at 01:35 (JST),"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha","None found, add some",Shuka,Manga,23,PG-13 - Teens 13 or older,1138,148699,661,74
One Piece,,8.58,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,Unknown,Currently Airing,10/20/1999,,Fall 1999,Sundays at 09:30 (JST),"Fuji TV, TAP, Shueisha","Funimation, 4Kids Entertainment",Toei Animation,Manga,24,PG-13 - Teens 13 or older,31,1591318,128990,75
Fate/Zero 2nd Season,Fate/Zero Season 2,8.58,"Action, Supernatural, Magic, Fantasy",TV,12,Finished Airing,4/8/2012,6/24/2012,Spring 2012,Sundays at 00:00 (JST),"Aniplex, Nitroplus, Seikaisha, Notes",Aniplex of America,ufotable,Light novel,24,R - 17+ (violence & profanity),111,902841,17730,76
Fruits Basket 2nd Season,,8.58,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,25,Finished Airing,4/7/2020,9/22/2020,Spring 2020,Tuesdays at 01:30 (JST),"TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music",Funimation,TMS Entertainment,Manga,23,PG-13 - Teens 13 or older,536,303743,4034,77
Fumetsu no Anata e,To Your Eternity,8.58,"Adventure, Drama, Shounen, Supernatural",TV,20,Currently Airing,4/12/2021,,Spring 2021,Mondays at 22:50 (JST),"NHK, NHK Enterprises","None found, add some",Brain's Base,Manga,25,R - 17+ (violence & profanity),316,488100,6904,78
Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,8.58,"Action, Demons, Historical, Shounen, Supernatural",TV,26,Finished Airing,4/6/2019,9/28/2019,Spring 2019,Saturdays at 23:30 (JST),"Aniplex, Shueisha",Aniplex of America,ufotable,Manga,23,R - 17+ (violence & profanity),15,1929656,61960,79
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Fate/stay night: Heaven's Feel - II. Lost Butterfly,8.57,"Action, Fantasy, Magic, Supernatural",Movie,1,Finished Airing,1/12/2019,,,,"Aniplex, Notes, Kadokawa",Aniplex of America,ufotable,Visual novel,117,R - 17+ (violence & profanity),639,262024,2772,80
